application_id,applicant_id,ssn_hash,date_of_birth,ssn_issue_year,ssn_issue_state,application_state,credit_file_age_months,stated_annual_income,application_timestamp,ip_address,device_fingerprint,name_ssn_match_score,address_match_score,phone_tenure_days,email_tenure_days,email_domain,kyc_attempt_count,kyc_result,kyc_start_timestamp,kyc_complete_timestamp,document_type,kyc_failure_reasons,liveness_score,document_auth_score,manual_review_flag,application_status,fraud_label,signal_embedded
APP-00000001,APPL-003420,16e2369357f15a03,1975-05-02,1978,IL,WA,214,69110.0,2023-01-30 19:03:00,220.101.51.2,DEV-549132,89.8,70.9,2734,1797,outlook.com,1,pass,2023-01-30 19:03:00,2023-01-30 19:09:39,drivers_license,,88.4,95.6,0,approved,clean,
APP-00000002,APPL-007746,49d9c05d27d36d35,1987-10-24,1988,NY,IL,143,37204.0,2024-11-15 23:36:00,16.173.178.11,DEV-217441,77.1,78.7,924,969,yahoo.com,2,pass,2024-11-15 23:36:00,2024-11-15 23:43:31,state_id,,97.0,93.1,0,declined,clean,
APP-00000003,APPL-003421,26d14c6787741291,1975-11-07,1980,TX,OH,146,39510.0,2024-10-30 23:03:00,18.6.56.73,DEV-759435,95.2,96.1,2750,989,yahoo.com,1,pass,2024-10-30 23:03:00,2024-10-30 23:11:30,drivers_license,,81.1,95.0,0,declined,clean,
APP-00000004,APPL-009691,4a9ccbfadef81b4f,1988-08-03,1990,WA,OH,78,106874.0,2024-06-22 03:11:00,235.165.96.111,DEV-751459,94.2,88.7,2144,3490,outlook.com,1,pass,2024-06-22 03:11:00,2024-06-22 03:18:45,passport,,86.5,80.6,0,pending,clean,
APP-00000005,APPL-008073,0a452757f164f5be,1998-07-01,1999,CA,IL,199,78289.0,2024-08-20 05:21:00,4.241.141.254,DEV-566762,93.8,93.8,2565,3404,outlook.com,1,pass,2024-08-20 05:21:00,2024-08-20 05:23:47,passport,,95.7,85.8,0,approved,clean,
APP-00000006,APPL-003342,9581f918bd13e4c1,1991-06-11,1996,IL,NC,162,44119.0,2023-07-25 13:30:00,213.153.20.195,DEV-602389,85.5,87.9,1818,1700,hotmail.com,1,pass,2023-07-25 13:30:00,2023-07-25 13:32:54,passport,,88.3,82.7,0,approved,clean,
APP-00000007,APPL-009089,fdc95b6873764bb5,1979-02-23,1980,TX,CA,167,47611.0,2024-01-03 02:13:00,12.137.238.187,DEV-638039,99.8,87.4,465,2696,icloud.com,2,pass,2024-01-03 02:13:00,2024-01-03 02:22:29,passport,,90.2,94.5,0,approved,clean,
APP-00000008,APPL-006210,d01e77cf1e90be79,1964-11-13,1966,TX,FL,178,83777.0,2023-07-08 23:23:00,181.130.43.224,DEV-538734,92.4,81.8,813,2199,icloud.com,1,pass,2023-07-08 23:23:00,2023-07-08 23:32:36,passport,,81.7,88.0,0,declined,clean,
APP-00000009,APPL-003842,19c54888def570f9,1967-12-29,1968,NC,NY,174,93315.0,2024-10-04 05:10:00,27.34.247.175,DEV-174269,84.5,84.9,2978,2564,yahoo.com,1,pass,2024-10-04 05:10:00,2024-10-04 05:16:35,passport,,94.8,84.4,0,declined,clean,
APP-00000010,APPL-007872,bc0886ecc0c96c4f,1991-05-05,1993,IL,WA,197,62263.0,2023-05-03 14:02:00,210.224.237.154,DEV-366935,91.5,76.0,720,888,yahoo.com,1,pass,2023-05-03 14:02:00,2023-05-03 14:08:15,drivers_license,,90.5,90.1,0,approved,clean,
APP-00000011,APPL-005408,fb412e9a5eed7228,1972-10-21,1973,OH,WA,211,67913.0,2023-12-30 02:01:00,73.143.58.83,DEV-286806,78.6,91.4,437,1954,hotmail.com,2,pass,2023-12-30 02:01:00,2023-12-30 02:10:01,drivers_license,,88.2,80.5,0,approved,clean,
APP-00000012,APPL-008415,b24297e5e9fd641d,1962-04-25,1966,NY,OH,239,114660.0,2023-04-21 22:03:00,185.9.165.208,DEV-477232,78.6,92.2,2336,724,gmail.com,1,pass,2023-04-21 22:03:00,2023-04-21 22:05:12,state_id,,95.6,90.9,0,approved,clean,
APP-00000013,APPL-009364,2c3fc1395c374d2c,1983-02-22,1986,PA,WA,159,82525.0,2023-06-06 19:26:00,227.211.138.119,DEV-900150,83.1,81.3,1840,2880,hotmail.com,1,pass,2023-06-06 19:26:00,2023-06-06 19:31:53,passport,,81.2,95.9,0,declined,clean,
