invoice_id,vendor_id,vendor_name,vendor_address,vendor_tax_id,vendor_bank_routing,vendor_contact,department,invoice_amount,billing_code,invoice_date,approval_timestamp,approver_id,payment_status,fraud_label,signal_embedded
INV-0000001,VND-0028,York Services,"252 Enterprise Ave, Charlotte, NC 83792",22-2229110,677280546,William Wilson,Operations,43537.17,OPS-021,2024-03-19,2024-03-22 13:00:00,APR-303,paid,clean,
INV-0000002,VND-0035,Nova Corp,"2632 Industrial Pkwy, New York, NY 33206",62-1415846,292587044,Anthony Garcia,HR,3542.98,HR-040,2024-11-18,2024-11-22 22:00:00,APR-502,paid,clean,
INV-0000003,VND-0053,Vertex Technologies,"2804 Enterprise Ave, New York, NY 91560",78-1452421,523076025,Daniel Anderson,Finance,540.18,FIN-052,2023-09-28,2023-09-29 18:00:00,APR-601,paid,clean,
INV-0000004,VND-0040,Nova Solutions,"8618 Industrial Pkwy, Seattle, WA 66531",18-6539837,769108025,Richard Taylor,Finance,954.85,FIN-052,2023-12-07,2023-12-08 12:00:00,APR-601,paid,clean,
INV-0000005,VND-0011,Delta Group,"2721 Market St, Charlotte, NC 18326",59-7402509,739830322,Thomas Wilson,Legal,1513.38,LEG-061,2024-03-31,2024-04-02 11:00:00,APR-701,paid,clean,
INV-0000006,VND-0012,Apex Services,"8897 Business Dr, Seattle, WA 24621",47-8294150,269820594,Thomas Smith,HR,1828.26,HR-040,2024-08-30,2024-08-31 11:00:00,APR-501,paid,clean,
INV-0000007,VND-0045,Blue Partners,"7884 Oak Ave, Columbus, OH 64321",90-4262081,871318048,Anthony Miller,IT,26799.95,IT-003,2024-10-14,2024-10-19 00:00:00,APR-103,pending,clean,
INV-0000008,VND-0036,Zenith Partners,"4471 Commerce Blvd, Houston, TX 60140",14-8896868,338836384,William Martin,Facilities,806.22,FAC-032,2024-05-17,2024-05-21 03:00:00,APR-401,paid,clean,
INV-0000009,VND-0015,Horizon Corp,"1390 Oak Ave, Columbus, OH 19071",78-3109911,237859287,Matthew Davis,IT,3788.78,IT-001,2023-11-09,2023-11-11 02:00:00,APR-102,pending,clean,
INV-0000010,VND-0057,Summit Partners,"7719 Business Dr, Seattle, WA 31992",87-2921542,935147672,Paul Williams,IT,1120.41,IT-005,2024-02-19,2024-02-23 12:00:00,APR-103,pending,clean,
INV-0000011,VND-0066,Omega Consulting,"5123 Business Dr, Miami, FL 25814",34-6294016,228370927,Anthony Wilson,Finance,28514.19,FIN-051,2024-08-09,2024-08-10 09:00:00,APR-601,pending,clean,
INV-0000012,VND-0019,Rapid Group,"9455 Enterprise Ave, Miami, FL 71993",62-4194548,201281557,Robert Taylor,Marketing,19217.05,MKT-011,2024-11-06,2024-11-07 07:00:00,APR-201,pending,clean,
INV-0000013,VND-0045,Blue Partners,"7884 Oak Ave, Columbus, OH 64321",90-4262081,871318048,Anthony Miller,IT,8047.59,IT-007,2024-08-21,2024-08-22 05:00:00,APR-101,paid,clean,
INV-0000014,VND-0012,Apex Services,"8897 Business Dr, Seattle, WA 24621",47-8294150,269820594,Thomas Smith,HR,26006.51,HR-042,2024-06-15,2024-06-20 00:00:00,APR-502,pending,clean,
INV-0000015,VND-0054,Core Technologies,"2323 Enterprise Ave, New York, NY 16590",43-7360307,451492250,William Davis,IT,3627.85,IT-001,2024-07-03,2024-07-06 12:00:00,APR-102,paid,clean,
INV-0000016,VND-0044,Vertex Services,"4749 Tech Way, Houston, TX 40784",96-6207974,341206079,Mark Brown,Marketing,2011.1,MKT-011,2023-08-19,2023-08-21 11:00:00,APR-201,pending,clean,
INV-0000017,VND-9040,Omega Consulting,"3073 Market St, Columbus, OH 21959",70-6837817,538460431,Richard Garcia,IT,22876.4,IT-002,2024-06-13,2024-06-14 16:00:00,APR-101,paid,fraud,vendor_concentration
INV-0000018,VND-0019,Rapid Group,"9455 Enterprise Ave, Miami, FL 71993",62-4194548,201281557,Robert Taylor,Marketing,973.01,MKT-011,2023-11-27,2023-11-29 19:00:00,APR-201,paid,clean,
INV-0000019,VND-0020,Nova Technologies,"7751 Main St, Houston, TX 17944",61-6692553,959629660,Paul Johnson,Operations,8070.24,OPS-024,2023-01-29,2023-02-02 01:00:00,APR-301,paid,clean,
INV-0000020,VND-0010,Summit Technologies,"9660 Market St, Seattle, WA 38746",27-9548432,629908599,Robert Jackson,Finance,601.18,FIN-051,2023-09-03,2023-09-06 23:00:00,APR-601,paid,clean,
INV-0000021,VND-0023,Fox Technologies,"135 Market St, Chicago, IL 69638",46-8096887,847959430,Anthony Jackson,IT,1407.77,IT-002,2023-11-14,2023-11-16 10:00:00,APR-102,pending,clean,
INV-0000022,VND-0065,Vertex Corp,"6146 Enterprise Ave, Philadelphia, PA 79588",54-8138769,900942073,Charles Garcia,Operations,14900.49,OPS-020,2023-03-15,2023-03-18 07:00:00,APR-301,paid,clean,
INV-0000023,VND-0006,Ideal Enterprises,"6077 Commerce Blvd, Seattle, WA 56566",36-5479144,853573823,Matthew Taylor,Facilities,3746.06,FAC-033,2023-08-31,2023-09-02 07:00:00,APR-401,paid,clean,
INV-0000024,VND-0039,Nova Systems,"5239 Market St, Charlotte, NC 77033",24-7462506,719106699,William Jones,HR,23281.97,HR-043,2023-12-25,2023-12-28 11:00:00,APR-502,pending,clean,
INV-0000025,VND-0034,Blue Consulting,"6074 Main St, Seattle, WA 37535",97-5186414,816114302,Robert Garcia,Marketing,43544.62,MKT-015,2024-01-10,2024-01-14 02:00:00,APR-202,paid,clean,
INV-0000026,VND-0035,Nova Corp,"2632 Industrial Pkwy, New York, NY 33206",62-1415846,292587044,Anthony Garcia,HR,7273.93,HR-041,2023-11-19,2023-11-22 18:00:00,APR-501,pending,clean,
INV-0000027,VND-0028,York Services,"252 Enterprise Ave, Charlotte, NC 83792",22-2229110,677280546,William Wilson,Operations,3313.04,OPS-023,2023-12-17,2023-12-20 11:00:00,APR-302,pending,clean,
INV-0000028,VND-0022,Rapid Services,"928 Main St, Houston, TX 40982",31-7818496,621453189,Thomas Brown,Legal,44072.21,LEG-062,2023-10-03,2023-10-06 11:00:00,APR-701,paid,clean,
INV-0000029,VND-0040,Nova Solutions,"8618 Industrial Pkwy, Seattle, WA 66531",18-6539837,769108025,Richard Taylor,Finance,2436.28,FIN-050,2023-02-13,2023-02-15 08:00:00,APR-601,paid,clean,
INV-0000030,VND-0031,Titan Partners,"5717 Industrial Pkwy, Chicago, IL 76244",72-5213115,154544899,Robert Taylor,Operations,21921.57,OPS-023,2024-07-13,2024-07-15 04:00:00,APR-303,paid,clean,
INV-0000031,VND-0064,Rapid Partners,"7900 Enterprise Ave, Columbus, OH 12260",21-5936453,337937327,Joseph Moore,Facilities,35459.38,FAC-032,2023-07-11,2023-07-12 15:00:00,APR-401,pending,clean,
INV-0000032,VND-0050,Edge Partners,"6375 Commerce Blvd, Miami, FL 18418",63-7838382,455281184,Charles Davis,Marketing,4686.64,MKT-013,2024-05-24,2024-05-28 02:00:00,APR-202,paid,clean,
INV-0000033,VND-0022,Rapid Services,"928 Main St, Houston, TX 40982",31-7818496,621453189,Thomas Brown,Legal,1693.57,LEG-062,2023-01-23,2023-01-24 18:00:00,APR-701,paid,clean,
INV-0000034,VND-9013,Omega Services,"3924 Business Dr, Charlotte, NC 96662",35-8132648,223240112,Charles Brown,Finance,25294.07,FIN-051,2024-12-30,2024-12-31 09:00:00,APR-601,paid,fraud,period_boundary_spike
INV-0000035,VND-0027,Key Consulting,"3446 Tech Way, Miami, FL 44814",60-3195773,821221887,Matthew Jones,HR,4674.16,HR-042,2023-12-11,2023-12-15 06:00:00,APR-501,paid,clean,
INV-0000036,VND-0032,Ideal Solutions,"158 Tech Way, New York, NY 93507",43-3710895,895890631,Thomas Wilson,Legal,5920.59,LEG-061,2023-05-06,2023-05-07 23:00:00,APR-701,paid,clean,
INV-0000037,VND-0052,Nova Associates,"9047 Industrial Pkwy, Columbus, OH 38760",44-8312114,621454127,James Miller,Legal,25473.53,LEG-062,2023-09-14,2023-09-16 00:00:00,APR-701,pending,clean,
INV-0000038,VND-0023,Fox Technologies,"135 Market St, Chicago, IL 69638",46-8096887,847959430,Anthony Jackson,IT,15263.48,IT-005,2024-07-20,2024-07-21 15:00:00,APR-103,paid,clean,
INV-0000039,VND-0044,Vertex Services,"4749 Tech Way, Houston, TX 40784",96-6207974,341206079,Mark Brown,Marketing,44606.67,MKT-015,2024-11-08,2024-11-12 15:00:00,APR-202,paid,clean,
INV-0000040,VND-0061,Ideal Corp,"8917 Enterprise Ave, Columbus, OH 67091",85-5502929,446071904,Paul Brown,Finance,955.72,FIN-052,2023-02-28,2023-03-01 14:00:00,APR-601,paid,clean,
INV-0000041,VND-0061,Ideal Corp,"8917 Enterprise Ave, Columbus, OH 67091",85-5502929,446071904,Paul Brown,Finance,26277.9,FIN-050,2024-05-25,2024-05-28 00:00:00,APR-601,pending,clean,
INV-0000042,VND-0011,Delta Group,"2721 Market St, Charlotte, NC 18326",59-7402509,739830322,Thomas Wilson,Legal,935.53,LEG-062,2023-07-27,2023-07-28 20:00:00,APR-701,paid,clean,
INV-0000043,VND-0047,Delta Enterprises,"2284 Enterprise Ave, Philadelphia, PA 83259",86-6323376,910943524,Thomas Anderson,Legal,1350.57,LEG-061,2023-05-07,2023-05-08 01:00:00,APR-701,paid,clean,
INV-0000044,VND-0033,Rapid Solutions,"1932 Oak Ave, New York, NY 81511",14-7194416,725464884,Charles Williams,Facilities,8011.29,FAC-033,2023-03-12,2023-03-14 18:00:00,APR-401,pending,clean,
INV-0000045,VND-0025,Peak Associates,"8801 Commerce Blvd, Los Angeles, CA 76562",20-4117625,173574218,Daniel Johnson,HR,2824.49,HR-040,2023-11-16,2023-11-18 06:00:00,APR-502,paid,clean,
INV-0000046,VND-0067,Fox Partners,"3645 Enterprise Ave, Chicago, IL 87278",77-5747930,207939087,Paul Brown,Finance,1419.04,FIN-050,2023-03-10,2023-03-14 01:00:00,APR-601,pending,clean,
INV-0000047,VND-0012,Apex Services,"8897 Business Dr, Seattle, WA 24621",47-8294150,269820594,Thomas Smith,HR,43693.94,HR-040,2024-05-21,2024-05-22 15:00:00,APR-501,paid,clean,
INV-0000048,VND-0029,Lumen Services,"4102 Tech Way, Chicago, IL 30676",66-6075395,756783995,Mark Taylor,Marketing,6032.96,MKT-015,2024-10-28,2024-10-29 05:00:00,APR-202,pending,clean,
INV-0000049,VND-0032,Ideal Solutions,"158 Tech Way, New York, NY 93507",43-3710895,895890631,Thomas Wilson,Legal,3623.79,LEG-062,2023-01-31,2023-02-02 21:00:00,APR-701,paid,clean,
INV-0000050,VND-0036,Zenith Partners,"4471 Commerce Blvd, Houston, TX 60140",14-8896868,338836384,William Martin,Facilities,17206.32,FAC-030,2024-11-05,2024-11-09 16:00:00,APR-401,pending,clean,
INV-0000051,VND-0059,Vertex Corp,"2083 Main St, Seattle, WA 79827",64-7217147,174041730,Charles Taylor,Legal,3094.69,LEG-062,2024-12-09,2024-12-11 14:00:00,APR-701,pending,clean,
INV-0000052,VND-0051,Global Technologies,"6481 Main St, Charlotte, NC 59857",71-1098919,477698143,David Jackson,IT,2214.98,IT-006,2023-07-14,2023-07-18 14:00:00,APR-103,pending,clean,
INV-0000053,VND-0057,Summit Partners,"7719 Business Dr, Seattle, WA 31992",87-2921542,935147672,Paul Williams,IT,32198.67,IT-008,2024-07-19,2024-07-23 23:00:00,APR-102,pending,clean,
INV-0000054,VND-9013,Omega Services,"3924 Business Dr, Charlotte, NC 96662",35-8132648,223240112,Charles Brown,Finance,1056.13,FIN-051,2024-07-04,2024-07-07 22:00:00,APR-601,paid,clean,
INV-0000055,VND-0004,Lumen Corp,"4433 Main St, Columbus, OH 80284",25-7350753,184611066,Charles Jones,Operations,31329.59,OPS-023,2024-10-25,2024-10-26 16:00:00,APR-302,paid,clean,
INV-0000056,VND-9040,Omega Consulting,"3073 Market St, Columbus, OH 21959",70-6837817,538460431,Richard Garcia,IT,8996.67,IT-003,2023-09-18,2023-09-19 08:00:00,APR-101,paid,fraud,vendor_concentration
INV-0000057,VND-0054,Core Technologies,"2323 Enterprise Ave, New York, NY 16590",43-7360307,451492250,William Davis,IT,42882.87,IT-006,2023-01-29,2023-02-02 15:00:00,APR-101,pending,clean,
INV-0000058,VND-0004,Lumen Corp,"4433 Main St, Columbus, OH 80284",25-7350753,184611066,Charles Jones,Operations,2842.53,OPS-022,2024-01-09,2024-01-12 23:00:00,APR-302,pending,clean,
INV-0000059,VND-0050,Edge Partners,"6375 Commerce Blvd, Miami, FL 18418",63-7838382,455281184,Charles Davis,Marketing,727.69,MKT-015,2024-03-19,2024-03-21 17:00:00,APR-202,paid,clean,
INV-0000060,VND-0028,York Services,"252 Enterprise Ave, Charlotte, NC 83792",22-2229110,677280546,William Wilson,Operations,2515.77,OPS-021,2024-08-28,2024-09-01 07:00:00,APR-303,paid,clean,
INV-0000061,VND-0028,York Services,"252 Enterprise Ave, Charlotte, NC 83792",22-2229110,677280546,William Wilson,Operations,19885.65,OPS-021,2024-04-24,2024-04-25 13:00:00,APR-302,paid,clean,
INV-0000062,VND-0032,Ideal Solutions,"158 Tech Way, New York, NY 93507",43-3710895,895890631,Thomas Wilson,Legal,15732.77,LEG-060,2024-10-24,2024-10-25 03:00:00,APR-701,pending,clean,
INV-0000063,VND-0022,Rapid Services,"928 Main St, Houston, TX 40982",31-7818496,621453189,Thomas Brown,Legal,1933.05,LEG-062,2024-10-09,2024-10-10 12:00:00,APR-701,pending,clean,
INV-0000064,VND-0014,York Associates,"109 Tech Way, Columbus, OH 12552",24-7089806,992994062,Mark Jones,HR,9237.88,HR-040,2024-06-23,2024-06-26 01:00:00,APR-502,pending,clean,
INV-0000065,VND-0028,York Services,"252 Enterprise Ave, Charlotte, NC 83792",22-2229110,677280546,William Wilson,Operations,1615.51,OPS-021,2023-12-26,2023-12-28 07:00:00,APR-303,paid,clean,
INV-0000066,VND-0008,Key Solutions,"3852 Main St, Seattle, WA 62581",44-2110460,326541099,Daniel Moore,Finance,31562.3,FIN-051,2023-02-14,2023-02-16 05:00:00,APR-601,paid,clean,
INV-0000067,VND-0052,Nova Associates,"9047 Industrial Pkwy, Columbus, OH 38760",44-8312114,621454127,James Miller,Legal,3524.84,LEG-061,2023-11-10,2023-11-12 01:00:00,APR-701,pending,clean,
INV-0000068,VND-0058,Summit Solutions,"5211 Market St, Atlanta, GA 35995",19-5074336,209415691,Anthony Jackson,IT,12006.4,IT-005,2024-10-17,2024-10-21 15:00:00,APR-103,paid,clean,
INV-0000069,VND-0070,Peak Services,"1170 Market St, Columbus, OH 19710",83-1899411,262915636,Michael Jackson,Operations,1203.65,OPS-022,2024-05-30,2024-06-01 16:00:00,APR-301,pending,clean,
INV-0000070,VND-0051,Global Technologies,"6481 Main St, Charlotte, NC 59857",71-1098919,477698143,David Jackson,IT,882.5,IT-006,2024-02-28,2024-03-02 06:00:00,APR-103,pending,clean,
INV-0000071,VND-0007,Union Group,"8851 Industrial Pkwy, New York, NY 70589",58-5528972,787194506,Anthony Wilson,HR,681.27,HR-040,2023-05-21,2023-05-24 13:00:00,APR-501,paid,clean,
INV-0000072,VND-0070,Peak Services,"1170 Market St, Columbus, OH 19710",83-1899411,262915636,Michael Jackson,Operations,4901.72,OPS-020,2024-03-21,2024-03-23 15:00:00,APR-301,pending,clean,
INV-0000073,VND-0066,Omega Consulting,"5123 Business Dr, Miami, FL 25814",34-6294016,228370927,Anthony Wilson,Finance,3105.19,FIN-052,2024-06-13,2024-06-15 20:00:00,APR-601,pending,clean,
INV-0000074,VND-0047,Delta Enterprises,"2284 Enterprise Ave, Philadelphia, PA 83259",86-6323376,910943524,Thomas Anderson,Legal,5193.41,LEG-061,2023-03-27,2023-03-30 05:00:00,APR-701,pending,clean,
INV-0000075,VND-0048,Nova Associates,"7405 Commerce Blvd, Columbus, OH 68991",43-5147994,784683755,David Jackson,HR,42259.51,HR-041,2023-12-27,2023-12-29 09:00:00,APR-502,paid,clean,
INV-0000076,VND-0035,Nova Corp,"2632 Industrial Pkwy, New York, NY 33206",62-1415846,292587044,Anthony Garcia,HR,1220.96,HR-042,2023-01-28,2023-01-30 11:00:00,APR-502,pending,clean,
INV-0000077,VND-0046,Horizon Group,"190 Oak Ave, Atlanta, GA 38683",32-9689889,598806645,James Wilson,Facilities,34644.48,FAC-033,2023-08-02,2023-08-05 10:00:00,APR-401,pending,clean,
INV-0000078,VND-0033,Rapid Solutions,"1932 Oak Ave, New York, NY 81511",14-7194416,725464884,Charles Williams,Facilities,7923.66,FAC-030,2024-02-26,2024-02-27 21:00:00,APR-401,pending,clean,
INV-0000079,VND-0066,Omega Consulting,"5123 Business Dr, Miami, FL 25814",34-6294016,228370927,Anthony Wilson,Finance,1780.86,FIN-051,2023-06-17,2023-06-21 12:00:00,APR-601,paid,clean,
INV-0000080,VND-0017,Omega Services,"4161 Industrial Pkwy, Houston, TX 54313",12-4860684,731832764,William Smith,HR,1656.91,HR-043,2024-09-13,2024-09-14 17:00:00,APR-501,pending,clean,
INV-0000081,VND-0055,York Technologies,"4658 Market St, Chicago, IL 20735",70-1325197,904258674,Charles Smith,Operations,37163.36,OPS-022,2023-04-08,2023-04-10 16:00:00,APR-301,pending,clean,
