transaction_id,customer_id,order_amount,discount_code,discount_amount,transaction_status,refund_amount,refunded_at,dispute_status,dispute_reason,dispute_filed_at,delivered_at,created_at,ip_address,device_fingerprint,card_fingerprint,card_bin,card_last4,shipping_address,billing_address,avs_result,product_category,traffic_source,affiliate_id,fraud_label,signal_embedded
TXN-00000001,CUST-000199,548.69,,0.0,succeeded,0.0,,,,,2024-08-03 20:24:00,2024-07-31 20:24:00,80.16.5.85,DEV-912990,CARD-6384212,411111,7337,"6394 Cedar Ln, San Jose, TX","2064 Cedar Ln, New York, TX",Y,Toys,email,,clean,
TXN-00000002,CUST-000255,125.28,,0.0,succeeded,0.0,,,,,2024-02-01 17:19:00,2024-01-27 17:19:00,68.211.134.157,DEV-141676,CARD-1674622,411111,9528,"1246 Cedar Ln, Houston, NY","3515 Oak Ave, Phoenix, FL",Y,Food,email,,clean,
TXN-00000003,CUST-001757,739.8,,0.0,succeeded,0.0,,,,,2024-05-27 01:09:00,2024-05-22 01:09:00,143.38.235.140,DEV-259008,CARD-6976403,370000,4952,"3597 Cedar Ln, Los Angeles, FL","1548 Main St, Chicago, NY",A,Food,affiliate_001,,clean,
TXN-00000004,CUST-000867,343.76,,0.0,succeeded,0.0,,,,,2024-07-30 21:47:00,2024-07-28 21:47:00,188.170.218.175,DEV-362749,CARD-4574484,378282,4679,"6697 Cedar Ln, Dallas, GA","3729 Park Blvd, Los Angeles, GA",Y,Apparel,organic,,clean,
TXN-00000005,CUST-000921,461.12,,0.0,succeeded,0.0,,,,,2024-09-17 00:53:00,2024-09-11 00:53:00,230.174.174.123,DEV-271037,CARD-4178537,450000,2379,"9094 Elm St, Los Angeles, CA","2864 Main St, New York, WA",N,Food,organic,,clean,
TXN-00000006,CUST-001163,396.06,,0.0,succeeded,0.0,,,,,2024-03-17 02:09:00,2024-03-11 02:09:00,11.249.136.136,DEV-570789,CARD-1818685,601100,2177,"7046 Oak Ave, Los Angeles, WA","8297 Park Blvd, Philadelphia, NY",N,Beauty,affiliate_001,,clean,
TXN-00000007,CUST-001109,735.48,,0.0,succeeded,0.0,,,,,2024-03-18 17:42:00,2024-03-16 17:42:00,229.251.112.63,DEV-100834,CARD-7969283,400000,9298,"8214 Cedar Ln, Los Angeles, WA","1621 Cedar Ln, San Jose, NY",A,Beauty,affiliate_001,,clean,
TXN-00000008,CUST-000658,484.86,,0.0,succeeded,0.0,,,,,2024-09-25 06:35:00,2024-09-20 06:35:00,120.7.243.75,DEV-546688,CARD-4746450,522222,6022,"6405 Main St, Houston, FL","1781 Cedar Ln, Dallas, CA",A,Electronics,email,,clean,
TXN-00000009,CUST-001482,461.84,,0.0,succeeded,0.0,,,,,2024-06-21 18:48:00,2024-06-18 18:48:00,123.206.119.252,DEV-312492,CARD-8900419,522222,8834,"3547 Park Blvd, Chicago, NY","4674 Park Blvd, San Antonio, WA",Y,Toys,affiliate_001,,clean,
TXN-00000010,CUST-001100,40.26,,0.0,succeeded,0.0,,,,,2024-04-11 03:46:00,2024-04-09 03:46:00,97.87.186.46,DEV-576495,CARD-7711323,341111,8290,"3651 Elm St, Los Angeles, OH","2230 Park Blvd, Houston, TX",Z,Food,affiliate_001,,clean,
TXN-00000011,CUST-001345,676.93,,0.0,succeeded,0.0,,,,,2025-01-02 07:05:00,2024-12-30 07:05:00,140.176.6.242,DEV-638270,CARD-8126558,341111,8374,"1831 Park Blvd, San Diego, GA","9531 Main St, Philadelphia, FL",A,Electronics,email,,clean,
TXN-00000012,CUST-001453,613.3,,0.0,succeeded,0.0,,,,,2024-12-06 02:24:00,2024-11-30 02:24:00,193.26.240.37,DEV-474676,CARD-1703482,411111,3318,"5718 Oak Ave, Philadelphia, NY","7894 Elm St, Dallas, TX",Z,Garden,affiliate_001,,clean,
TXN-00000013,CUST-001165,578.91,,0.0,succeeded,0.0,,,,,2024-10-19 04:06:00,2024-10-16 04:06:00,111.229.215.41,DEV-760935,CARD-6441512,522222,8565,"6059 Elm St, Phoenix, TX","3642 Main St, New York, OH",Y,Apparel,paid_social,,clean,
TXN-00000014,CUST-001071,621.46,,0.0,succeeded,0.0,,,,,2024-02-27 20:46:00,2024-02-20 20:46:00,33.56.83.108,DEV-238915,CARD-8219920,424242,6814,"2778 Main St, Philadelphia, OH","6206 Main St, Chicago, WA",N,Automotive,paid_social,,clean,
TXN-00000015,CUST-001089,173.45,,0.0,succeeded,0.0,,,,,2024-09-12 08:11:00,2024-09-08 08:11:00,241.216.121.53,DEV-917971,CARD-8919276,522222,6947,"8953 Main St, Los Angeles, TX","9374 Park Blvd, Philadelphia, WA",Z,Food,affiliate_001,,clean,
TXN-00000016,CUST-001113,85.42,,0.0,succeeded,0.0,,,,,2024-03-26 16:46:00,2024-03-23 16:46:00,36.220.33.184,DEV-830474,CARD-7577170,370000,5647,"8330 Elm St, New York, GA","4927 Park Blvd, Philadelphia, WA",Y,Books,email,,clean,
TXN-00000017,CUST-SY0039,97.09,,0.0,succeeded,0.0,,,,,2024-12-17 19:11:00,2024-12-15 19:11:00,80.228.59.38,DEV-740614,CARD-8705223,341111,4850,"1638 Park Blvd, San Jose, GA","2732 Main St, Philadelphia, FL",Y,Food,affiliate,AFF-SYNTH-00,fraud,synthetic_transactions
